35	302	752	231	929	340	2589	431.50	929	35
517	367	645	133	101	197	1960	326.67	645	101
253	216	793	842	648	625	3377	562.83	842	216
843	357	630	419	427	391	3067	511.17	843	357
155	495	240	465	309	696	2360	393.33	696	155
310	58	108	740	289	957	2462	410.33	957	58
147	585	317	512	494	628	2683	447.17	628	147
394	119	867	17	137	740	2274	379.00	867	17
893	332	6	209	77	473	1990	331.67	893	6
322	171	779	373	934	128	2707	451.17	934	128
3	361	815	894	19	698	2790	465.00	894	3
741	754	662	917	969	936	4979	829.83	969	662
135	397	893	830	815	681	3751	625.17	893	135
706	255	988	346	828	608	3731	621.83	988	255
964	416	242	510	196	58	2386	397.67	964	58
625	53	136	802	978	479	3073	512.17	978	53
